"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2013","1.2369","1.2356","1.2403","1.2333","","0.15%"
"03/07/2013","1.2350","1.2307","1.2365","1.2298","","0.35%"
"03/06/2013","1.2307","1.2277","1.2323","1.2273","","0.28%"
"03/05/2013","1.2273","1.2257","1.2291","1.2248","","0.18%"
"03/04/2013","1.2251","1.2262","1.2280","1.2234","","-0.25%"
"03/01/2013","1.2282","1.2231","1.2295","1.2222","","0.38%"
"02/28/2013","1.2235","1.2213","1.2246","1.2184","","0.13%"
"02/27/2013","1.2219","1.2170","1.2234","1.2157","","0.40%"
"02/26/2013","1.2170","1.2183","1.2203","1.2119","","-0.07%"
"02/25/2013","1.2179","1.2283","1.2329","1.2151","","-0.64%"
"02/22/2013","1.2258","1.2279","1.2309","1.2255","","-0.18%"
"02/21/2013","1.2280","1.2316","1.2336","1.2267","","-0.28%"
"02/20/2013","1.2314","1.2354","1.2370","1.2312","","-0.32%"
"02/19/2013","1.2354","1.2329","1.2364","1.2311","","0.23%"
"02/18/2013","1.2326","1.2317","1.2348","1.2307","","0.11%"
"02/15/2013","1.2312","1.2307","1.2339","1.2283","","0.04%"
"02/14/2013","1.2307","1.2338","1.2351","1.2277","","-0.22%"
"02/13/2013","1.2334","1.2338","1.2392","1.2323","","-0.02%"
"02/12/2013","1.2337","1.2336","1.2358","1.2283","","0.23%"
"02/11/2013","1.2309","1.2285","1.2333","1.2256","","0.43%"
"02/08/2013","1.2256","1.2302","1.2317","1.2252","","-0.38%"
"02/07/2013","1.2303","1.2307","1.2336","1.2272","","0.02%"
"02/06/2013","1.2300","1.2335","1.2373","1.2281","","-0.27%"
"02/05/2013","1.2333","1.2274","1.2349","1.2253","","0.50%"
"02/04/2013","1.2272","1.2399","1.2412","1.2258","","-0.93%"
"02/01/2013","1.2387","1.2361","1.2419","1.2301","","0.23%"
"01/31/2013","1.2359","1.2359","1.2390","1.2328","","0.04%"
"01/30/2013","1.2354","1.2433","1.2466","1.2340","","-0.64%"
"01/29/2013","1.2433","1.2464","1.2476","1.2397","","-0.21%"
"01/28/2013","1.2459","1.2486","1.2518","1.2448","","-0.09%"
"01/25/2013","1.2470","1.2427","1.2498","1.2380","","0.41%"
"01/24/2013","1.2419","1.2377","1.2449","1.2359","","0.36%"
"01/23/2013","1.2375","1.2377","1.2409","1.2325","","0.04%"
"01/22/2013","1.2370","1.2415","1.2468","1.2338","","-0.31%"
"01/21/2013","1.2409","1.2448","1.2457","1.2389","","-0.27%"
"01/18/2013","1.2442","1.2476","1.2572","1.2389","","-0.19%"
"01/17/2013","1.2466","1.2371","1.2495","1.2366","","0.79%"
"01/16/2013","1.2368","1.2395","1.2407","1.2331","","-0.21%"
"01/15/2013","1.2394","1.2330","1.2417","1.2303","","0.55%"
"01/14/2013","1.2326","1.2197","1.2344","1.2188","","1.17%"
"01/11/2013","1.2183","1.2132","1.2204","1.2119","","0.48%"
"01/10/2013","1.2125","1.2088","1.2134","1.2080","","0.31%"
"01/09/2013","1.2087","1.2087","1.2098","1.2080","","0.03%"
"01/08/2013","1.2083","1.2084","1.2102","1.2077","","0.02%"
"01/07/2013","1.2080","1.2088","1.2098","1.2076","","-0.02%"
"01/04/2013","1.2082","1.2097","1.2102","1.2079","","-0.07%"
"01/03/2013","1.2091","1.2104","1.2112","1.2080","","-0.10%"
"01/02/2013","1.2103","1.2089","1.2112","1.2067","","0.15%"
"01/01/2013","1.2085","1.2077","1.2142","1.2070","","0.09%"
"12/31/2012","1.2074","1.2064","1.2085","1.2058","","0.04%"
"12/28/2012","1.2069","1.2081","1.2100","1.2065","","-0.16%"
"12/27/2012","1.2088","1.2075","1.2100","1.2070","","0.11%"
"12/26/2012","1.2075","1.2074","1.2087","1.2067","","0.00%"
"12/25/2012","1.2075","1.2077","1.2092","1.2049","","0.02%"
"12/24/2012","1.2072","1.2077","1.2091","1.2066","","-0.06%"
"12/21/2012","1.2079","1.2073","1.2089","1.2060","","0.10%"
"12/20/2012","1.2067","1.2081","1.2090","1.2067","","-0.11%"
"12/19/2012","1.2080","1.2077","1.2104","1.2069","","0.04%"
"12/18/2012","1.2075","1.2080","1.2094","1.2060","","0.02%"
"12/17/2012","1.2073","1.2080","1.2099","1.2065","","-0.09%"
"12/14/2012","1.2084","1.2081","1.2098","1.2066","","0.05%"
"12/13/2012","1.2078","1.2112","1.2130","1.2074","","-0.19%"
"12/12/2012","1.2101","1.2124","1.2133","1.2091","","-0.18%"
"12/11/2012","1.2123","1.2080","1.2135","1.2073","","0.37%"
"12/10/2012","1.2078","1.2078","1.2089","1.2057","","0.00%"
"12/07/2012","1.2078","1.2093","1.2105","1.2071","","-0.15%"
"12/06/2012","1.2096","1.2108","1.2132","1.2081","","-0.08%"
"12/05/2012","1.2106","1.2133","1.2172","1.2102","","-0.20%"
"12/04/2012","1.2130","1.2083","1.2148","1.2075","","0.40%"
"12/03/2012","1.2082","1.2050","1.2104","1.2040","","0.26%"
"11/30/2012","1.2051","1.2039","1.2063","1.2033","","0.12%"
"11/29/2012","1.2036","1.2035","1.2051","1.2029","","0.03%"
"11/28/2012","1.2032","1.2043","1.2054","1.2025","","-0.09%"
"11/27/2012","1.2043","1.2035","1.2067","1.2015","","0.08%"
