"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2014","140.17","139.87","140.73","139.19","","0.21%"
"01/24/2014","139.87","141.42","141.81","139.74","","-1.08%"
"01/23/2014","141.39","141.59","142.45","141.01","","-0.13%"
"01/22/2014","141.57","141.47","141.87","141.06","","0.11%"
"01/21/2014","141.42","141.19","141.89","141.01","","0.20%"
"01/20/2014","141.14","141.28","141.41","140.32","","-0.04%"
"01/17/2014","141.20","142.14","142.20","140.95","","-0.65%"
"01/16/2014","142.12","142.26","142.93","141.67","","-0.07%"
"01/15/2014","142.22","142.57","142.65","141.78","","-0.22%"
"01/14/2014","142.54","140.81","142.66","140.75","","1.25%"
"01/13/2014","140.78","142.31","142.38","140.48","","-1.07%"
"01/10/2014","142.30","142.66","143.48","142.04","","-0.22%"
"01/09/2014","142.62","142.35","143.07","142.03","","0.20%"
"01/08/2014","142.33","142.43","143.20","142.09","","-0.06%"
"01/07/2014","142.41","142.04","142.63","141.93","","0.28%"
"01/06/2014","142.01","142.50","142.80","141.49","","-0.29%"
"01/03/2014","142.42","143.23","143.35","141.94","","-0.55%"
"01/02/2014","143.21","144.76","145.16","142.82","","-1.04%"
"01/01/2014","144.71","144.76","145.08","144.65","","-0.01%"
"12/31/2013","144.73","145.14","145.19","144.40","","-0.28%"
"12/30/2013","145.14","144.49","145.20","144.48","","0.45%"
"12/27/2013","144.49","143.50","145.75","143.42","","0.71%"
"12/26/2013","143.47","142.79","143.56","142.79","","0.51%"
"12/25/2013","142.74","142.81","143.13","142.51","","-0.02%"
"12/24/2013","142.77","142.58","142.92","142.44","","0.15%"
"12/23/2013","142.56","142.29","142.76","142.07","","0.20%"
"12/20/2013","142.27","142.43","142.77","142.06","","-0.10%"
"12/19/2013","142.41","142.69","142.87","141.85","","-0.18%"
"12/18/2013","142.66","141.37","142.93","141.20","","0.95%"
"12/17/2013","141.32","141.77","141.97","140.96","","-0.29%"
"12/16/2013","141.73","141.78","142.16","141.20","","-0.04%"
"12/13/2013","141.79","142.20","142.85","141.41","","-0.26%"
